workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1117553,2012-11-19 07:03:00,2012-11-19 15:12:00,N577ND,7359.0,7410.0,"ENGINE QUIT, TRIED TO RESTART.",2012-11-19,REMOVED & REPLACED R/H MAGNETO W/ S/N 11070634. TIMED & TORQUED TO SPECS. OPS & LEAK CHECK GOOD.,c_21,engine failure fire power loss engine quit
1118925,2013-01-17 15:31:00,2013-01-17 14:01:00,N543ND,6718.200000000001,7200.0,"RAN ENGINE START CKLIST 3 TIMES, TRIED COLD START CKLIST 2 TIMES & ENGINE FLOODED ONCE. ENGINE DIDN'T START, NEVER HEARD ENGINE FIRE.",2013-01-17,"STARTED ENGINE USING NORMAL PROCEDURES, OPS CHECK GOOD.",c_21,engine failure fire power loss engine quit
1120041,2013-02-20 13:43:00,2013-03-13 14:36:00,N516ND,11417.3,7200.0,"SLIGHT POWER LOSS ON TAKE OFF (A/C IN FERGUS FALLS, MN).",2013-03-11,"FOR BILLING PURPOSES ONLY, WORK PERFORMED BY: A&P 2225109. SEE DISCREPANCY PAGE DATED 2/20/13 FOR SIGN OFF.",c_21,engine failure fire power loss engine quit
1122167,2013-04-29 17:31:00,2013-04-29 15:14:00,N550ND,7981.9,7610.0,"IDLE IS TOO LOW, ENGINE QUIT AFTER LANDING. ALSO HARD TO START.",2013-04-29,ADJUSTED IDLE RPM FOR SEASONAL CONDITIONS. OPS CHECK GOOD.,c_21,engine failure fire power loss engine quit
1122516,2013-05-09 07:00:00,2013-05-09 13:45:00,N507ND,7188.900000000001,7200.0,"AFTER PERFORMING SIMULATED ENGINE FAILURE, SMOOTHLY APPLIED FULL POWER & CLIMBED OUT. ABOUT 15 SEC AFTER, ENGINE VIBRATED & ENGINE RPM DECREASED FROM 2500 TO 2350. ENGINE REMAINED OK.",2013-05-09,"RAN UP A/C ENGINE. ENGINE RUNS SMOOTH. MAG DROPS, IDLE MIXTURE & SPEED ALL OPS CHECK GOOD. SEE W/O #1122518 FOR MAINTENANCE FLIGHT.",c_21,engine failure fire power loss engine quit
1122526,2013-05-09 11:20:00,2013-06-13 10:28:00,N577ND,6277.6,7200.0,EXPERIENCED PARTIAL POWER LOSS DURING CLIMB.,2013-06-13,"FOR BILLING PURPOSES ONLY, WORK PERFORMED BY: A&P 3024870IA. SEE DISCREPANCY PAGE DATED 5/9/13 FOR SIGN OFF.",c_21,engine failure fire power loss engine quit
1123814,2013-06-15 14:54:00,2013-06-15 12:44:00,N576ND,7958.9,7220.0,"WHILE TAXING, ENGINE COUGHED & SPUTTERED ANYTIME RPMS WERE BELOW 1000 RPM. ENGINE QUIT RUNNING BEFORE LEAVING RAMP. ON RESTART, CONTINUED TO RUN ROUGH AT BOTH MIXTURE LEAN & MIXTURE RICH.",2013-06-15,ENGINE RAN SMOOTH AT DIFFERENT SETTINGS.,c_21,engine failure fire power loss engine quit
1123814,2013-06-15 14:54:00,2013-06-15 12:44:00,N576ND,7958.9,7220.0,"WHILE TAXING, ENGINE COUGHED & SPUTTERED ANYTIME RPMS WERE BELOW 1000 RPM. ENGINE QUIT RUNNING BEFORE LEAVING RAMP. ON RESTART, CONTINUED TO RUN ROUGH AT BOTH MIXTURE LEAN & MIXTURE RICH.",2013-06-15,"RAN ENGINE. NOTED DISCREPANCY, ROUGH ENGINE BELOW 1000 RPM. PERFORMED MAGNETO DROP CK AT 1800 RPM, 110 RPM DROP ON BOTH MAGS. PERFORMED POWER RUN UP W/ MIXTURE LEAN TO CLEAR ANY FOULED PLUGS. CK'ED IDLE RM, W/IN SPECS. MIXTURE IDLE CK W/IN SPECS.",c_21,engine failure fire power loss engine quit
1123962,2013-06-19 12:12:00,2013-06-19 14:06:00,N531ND,4608.6,7100.0,A/C HAD ENGINE FIRE - USED EXTINGUISHER.,2013-06-19,CLEANED EXTINGUISHER RESIDUE OFF ENGINE W/ HOT WATER. INSPECTED ENGINE & EXHAUST NOTING NO DISCREPS. NO EVIDENCE OF FIRE NOTED. OPS CHECKED ENGINE NOTING NO DISCREPS. REMOVED & REPLACED FIRE EXTINGUISHER.,c_21,engine failure fire power loss engine quit
1123967,2013-06-19 13:37:00,2013-06-19 14:54:00,N531ND,4608.6,550.0,HIDDEN DAMAGE INSP REQUIRED FOR ENG FIRE.,2013-06-19,"PERFORMED HIDDEN DAMAGE ON AFFECTED AREA, NO DAMAGE NOTICED. FIRE CAME OUT OF EXHAUST FLAME TUBE. NO DAMAGE DONE TO EXHAUST. DRY CHEMICAL FIRE EXTINGUISHER WAS SPRAYED ON ENGINE AREA. REF TO W/O #1123962 FOR CORRECTIVE ACTION.",c_21,engine failure fire power loss engine quit
1124909,2013-07-20 17:08:00,2013-07-20 13:29:00,N524ND,8540.9,7410.0,"ENGINE QUIT RUNNING AFTER REDUCING THROTTLE TO 1000 RPM, RESTARTED ENGINE & AFTER A FEW MINUTES ENGINE QUIT. RPM FLUCTUATED BETWEEN 300 - 400 RPM AFTER RESTART.",2013-07-20,"PERFORMED RUN UP, MAG DROPS 170 RPM ON BOTH W/ MIXTURE RICH, 90 RPM W/ MIXTURE LEANED DROPS W/IN SPECS. MIXTURE IDLE CHECK GOOD. LEAK CHECK MAGNETOS GOOD.",c_21,engine failure fire power loss engine quit
1124909,2013-07-20 17:08:00,2013-07-20 13:29:00,N524ND,8540.9,7410.0,"ENGINE QUIT RUNNING AFTER REDUCING THROTTLE TO 1000 RPM, RESTARTED ENGINE & AFTER A FEW MINUTES ENGINE QUIT. RPM FLUCTUATED BETWEEN 300 - 400 RPM AFTER RESTART.",2013-07-20,"PERFORMED RUN UP, ENGINE DID NOT QUIT AT ANYTIME OR DIFFERENT SETTINGS. MAG DROPS TOO HIGH, ABOUT 200 RPM. CHECKED MAG TIMING, OFF BY 4 DEGREES. RETIMED MAGS, CLEANED PLUGS, INSTALLED NEW GASKETS & TORQUED TO SPECS.",c_21,engine failure fire power loss engine quit
1125992,2013-08-28 09:17:00,2013-09-19 14:49:00,N604ND,1410.3000000000002,7200.0,PARTIAL POWER LOSS REPORTED BY CREW.,2013-09-19,REPAIRED ENGINE BAFFLING.,c_21,engine failure fire power loss engine quit
1125992,2013-08-28 09:17:00,2013-09-19 14:49:00,N604ND,1410.3000000000002,7200.0,PARTIAL POWER LOSS REPORTED BY CREW.,2013-09-19,"FOR BILLING PURPOSES ONLY, WORK PERFORMED BY: AZ AIRCRAFT MEDIC ON INVOICE #1241 DATED 9/10/13.",c_21,engine failure fire power loss engine quit
1126240,2013-09-05 09:43:00,2013-09-05 14:55:00,N548ND,7462.799999999999,7320.0,"ENGINE FAILURE ON RUN WAY, AFTER FULL STOP DURING STOP & GO. ADDITION OF POWER CAUSED ENGINE TO SPUTTER & DIE.",2013-09-05,"REMOVED INJECTOR, INSTALLED INJECTOR S/N 70DK6401. RAN A/C, OPS & LEAK CK GOOD. AD 2001-06-17 NOW DUE @ 2436.0 TACH.",c_21,engine failure fire power loss engine quit
1126416,2013-09-10 18:42:00,2013-09-10 14:04:00,N546ND,8403.0,7200.0,"POWER AT IDLE, ENGINE QUIT. RESTARTED & TESTED IDLE W/ FULL MIXTURE & ENGINE QUIT AGAIN.",2013-09-10,RAN UP A/C ENGINE. ADJUSTED IDLE SPEED. IDLE MIXTURE CHECKS GOOD.,c_21,engine failure fire power loss engine quit
1126595,2013-09-16 10:47:00,2013-09-16 15:06:00,N507ND,7460.0,7100.0,"ON TAXI, BROUGHT POWER TO IDLE, ENGINE QUIT 400 RPM OBSERVED.",2013-09-16,"REMOVED SERVO & INSTALLED OVERHAULED SERVO S/N 70C36708. RAN A/C, OPS CK GOOD. ADJUSTED IAW AD 2001-06-17, OPS & LEAK CK GOOD.",c_21,engine failure fire power loss engine quit
1127065,2013-09-30 19:54:00,2013-09-30 10:49:00,N558ND,9744.2,7200.0,"DURING GO AROUND FROM A SIMULATED ENG FAILURE, ENG RAN ROUGH. AFTER 20 SEC WAS NORMAL.",2013-09-30,"RAN A/C, MAG DROP, IDLE & IDLE MIXTURE RISE CK GOOD. A/C RAN NORMALLY.",c_21,engine failure fire power loss engine quit
1129560,2013-12-20 17:26:00,2013-12-20 11:17:00,N566ND,10150.1,7200.0,ENGINE FAILURE WHILE HOLDING SHORT. THROTTLE WAS IDLE.,2013-12-20,"RAN A/C. MAG, IDLE RPM & IDLE MIXTURE CK GOOD. INSPECTED AIR INTAKES & FOUND NO DEFECTS.",c_21,engine failure fire power loss engine quit
1132098,2014-03-18 19:52:00,2014-03-18 11:05:00,N546ND,9651.6,7410.0,"PILOT REPORTS: WHEN CK'ING MAGNETOS DURING SHUT DOWN, ENGINE QUIT WHEN MAGS WERE SELECTED ""OFF"". PROCEDURE WAS DONE CORRECTLY, POSSIBLE HOT MAG.",2014-03-18,PERFORMED ENGINE START & RUN UP IAW 172S POH 4-15. COULD NOT DUPLICATE DISCREP. SYSTEM OPERATES AS SPECIFIED.,c_21,engine failure fire power loss engine quit
