workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1115675,2012-09-24 14:27:00,2012-09-24 15:15:00,N537ND,6626.400000000001,7420.0,TOP #4 SPARK PLUG IS BAD.,2012-09-24,REMOVED & REPLACED TOP #4 SPARK PLUG.,c_39,spark plug plug fouled
1115993,2012-10-02 06:58:00,2012-10-08 10:44:00,N567ND,7058.1,7200.0,ENGINE IS TIMED OUT.,2012-10-05,INSTALLED ENGINE. PERFORMED PRE-OIL & INSTALLED SPARK PLUGS. TORQUED MOUNT BOLTS TO ENGINE. FINISHED ENGINE BUILD UP.,c_39,spark plug plug fouled
1116010,2012-10-02 10:35:00,2012-10-02 16:04:00,N575ND,5094.3,7420.0,#1 SPARK PLUG IS WORN.,2012-10-02,REMOVED & REPLACED PLUG.,c_39,spark plug plug fouled
1116475,2012-10-17 06:49:00,2012-10-17 14:03:00,N576ND,6229.1,7420.0,4 BOTTOM SPARK PLUGS ARE WORN BEYOND LIMITS.,2012-10-17,REMOVED & REPLACED PLUGS.,c_39,spark plug plug fouled
1116712,2012-10-24 14:32:00,2012-10-24 15:25:00,N508ND,5413.200000000001,7420.0,#2 UPPER SPARK PLUG BAD.,2012-10-24,REMOVED & REPLACED #2 UPPER SPARK PLUG.,c_39,spark plug plug fouled
1116752,2012-10-25 14:32:00,2012-10-30 15:08:00,N521ND,6373.8,7420.0,#2 & 3 LOWER PLUGS BAD.,2012-10-25,REPLACED #2 & 3 LOWER SPARK PLUGS.,c_39,spark plug plug fouled
1117123,2012-11-05 15:37:00,2012-11-06 11:02:00,N522ND,10888.8,7200.0,"#2 CYL ""MISSING"" ON RUN UP (RUNS ROUGH).",2012-11-05,"CLEANED, GAPPED & TESTED #2 CYL SPARK PLUGS - OPS CK GOOD.",c_39,spark plug plug fouled
1117318,2012-11-13 14:33:00,2012-11-13 10:58:00,N512ND,8781.7,7420.0,#2 BOTTOM PLUG LEAD DAMAGED.,2012-11-13,REPAIRED SPARK PLUG LEAD.,c_39,spark plug plug fouled
1117496,2012-11-16 13:30:00,2012-11-16 15:19:00,N550ND,7480.5,7420.0,2 BAD SPARK PLUGS.,2012-11-16,"INSTALLED 2 NEW SPARK PLUGS, TORQUED TO SPECS (#1 BOTTOM, #4 TOP).",c_39,spark plug plug fouled
1117529,2012-11-17 14:32:00,2012-11-19 10:00:00,N520ND,6920.3,7420.0,1 SPARK PLUG FAILED WHEN TESTED.,2012-11-18,REMOVED & REPLACED SPARK PLUG.,c_39,spark plug plug fouled
1117683,2012-11-21 14:13:00,2012-11-21 15:18:00,N540ND,7221.900000000001,7420.0,1 SPARK PLUG CERAMIC IS CRACKED.,2012-11-21,REMOVED & REPLACED SPARK PLUG.,c_39,spark plug plug fouled
1117865,2012-11-29 15:00:00,2012-11-29 13:11:00,N572ND,6678.9,2820.0,ALL 8 SPARK PLUGS OUTER ERROSION GAUGE.,2012-11-29,INSTALLED 8 NEW SPARK PLUGS.,c_39,spark plug plug fouled
