workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1116009,2012-10-02 10:35:00,2012-10-02 16:09:00,N514ND,11487.5,7230.0,L/H UPPER BAFFLE FOR CYL #4 PLUG HOLE IS ENLARGED.,2012-10-02,INSTALLED PATCH MADE OF LIKE MATERIAL & RIVETED IAW CESSNA SINGLE ENGINE SRM CH 51-40-00.,c_6,baffle plug
1116328,2012-10-12 15:02:00,2012-10-12 15:11:00,N559ND,7072.799999999999,7230.0,L/H BAFFLE PLUG NEEDS TO BE REPLACED.,2012-10-12,REMOVED & REPLACED BAFFLE PLUG.,c_6,baffle plug
1116365,2012-10-15 06:57:00,2012-10-16 14:39:00,N524ND,6500.9,7230.0,#3 BAFFLE PLUG IS WORN.,2012-10-16,REMOVED & REPLACED PLUG.,c_6,baffle plug
1116726,2012-10-25 06:56:00,2012-10-25 10:35:00,N566ND,7532.6,7230.0,BAFFLE SPARK PLUG CAPS ARE WORN OUT.,2012-10-25,INSTALLED NEW BAFFLE CAPS.,c_6,baffle plug
1117164,2012-11-07 06:53:00,2012-11-07 15:18:00,N573ND,6874.0,7230.0,BAFFLE PLUG MISSING ON ENGINE.,2012-11-07,REPLACED PLUG.,c_6,baffle plug
1117255,2012-11-12 14:46:00,2012-11-12 14:51:00,N511ND,6845.9,7230.0,ENGINE BAFFLE PLUG TABS BROKEN.,2012-11-12,INSTALLED NEW ENGINE BAFFLE PLUGS.,c_6,baffle plug
1118921,2013-01-17 14:46:00,2013-01-17 14:56:00,N538ND,6527.5,7230.0,ENGINE BAFFLE PLUGS BAD.,2013-01-17,INSTALLED NEW BAFFLE PLUGS.,c_6,baffle plug
1119070,2013-01-22 14:55:00,2013-01-22 14:08:00,N540ND,7504.5,7230.0,"L/H BAFFLE, SPARK PLUG ACCESS PLUG WORN TABS.",2013-01-22,REMOVED & REPLACED BROKEN BAFFLE PLUG.,c_6,baffle plug
1121713,2013-04-16 06:55:00,2013-04-16 15:42:00,N577ND,5999.5,7230.0,R/H ENGINE BAFFLE PLUG BROKEN.,2013-04-16,INSTALLED NEW BAFFLE PLUG.,c_6,baffle plug
1121762,2013-04-17 14:18:00,2013-04-17 13:15:00,N524ND,7651.7,7230.0,BAFFLE PLUG IS MISSING.,2013-04-17,INSTALLED NEW PLUG.,c_6,baffle plug
1121976,2013-04-24 06:48:00,2013-04-24 11:00:00,N521ND,7592.1,7230.0,ENGINE BAFFLE PLUGS WORN.,2013-04-24,REMOVED & REPLACED BAFFLE PLUGS.,c_6,baffle plug
1122309,2013-05-03 06:47:00,2013-05-03 15:17:00,N570ND,8202.2,7230.0,SPARK PLUG BAFFLE HOLE PLUGS ARE WORN.,2013-05-03,REMOVED & REPLACED PLUGS.,c_6,baffle plug
1122310,2013-05-03 06:51:00,2013-05-06 09:24:00,N575ND,6565.2,7230.0,BAFFLE SPARK PLUG HOLE COVERS ARE WORN.,2013-05-03,REMOVED & REPLACED COVERS.,c_6,baffle plug
1122555,2013-05-10 06:46:00,2013-05-10 11:21:00,N515ND,9061.9,7230.0,BAFFLE PLUGS ARE WORN.,2013-05-10,REMOVED & REPLACED PLUGS.,c_6,baffle plug
1122621,2013-05-13 06:50:00,2013-05-13 14:41:00,N552ND,11750.8,7230.0,ENGINE BAFFLE SNAP PLUG TAB BROKEN OFF.,2013-05-13,INSTALLED NEW ENGINE BAFFLE PLUGS.,c_6,baffle plug
1122935,2013-05-21 06:59:00,2013-05-21 12:26:00,N530ND,9250.9,7230.0,L/H BAFFLE PLUG NEEDS TO BE REPLACED.,2013-05-21,REMOVED & REPLACED BAFFLE PLUG.,c_6,baffle plug
1122985,2013-05-22 12:00:00,2013-05-22 13:43:00,N576ND,7730.3,7230.0,BOTH SPARK PLUG BAFFLE PLUGS ARE WORN.,2013-05-22,REMOVED & REPLACED SPARK PLUG BAFFLE PLUGS.,c_6,baffle plug
1123763,2013-06-13 15:04:00,2013-06-13 15:10:00,N539ND,11203.5,7230.0,L/H BAFFLE PLUG HOLE IS TOO LARGE.,2013-06-13,INSTALLED BAFFLE PATCH MADE OUT OF LIKE MATERIAL.,c_6,baffle plug
1124173,2013-06-26 06:50:00,2013-06-29 10:42:00,N514ND,13570.7,7230.0,R/H BAFFLE PLUG NEEDS TO BE REPLACED.,2013-06-26,INSTALLED NEW BAFFLE PLUG.,c_6,baffle plug
1125268,2013-08-01 15:04:00,2013-08-01 11:01:00,N511ND,8991.0,7230.0,SPARK PLUG ACCESS HOLE ON BAFFLE CYL #4 ELONGATED.,2013-08-01,"FABRICATED PATCH AROUND ACCESS HOLE & RIVETED, WORK DONE REFERENCING CESSNA REPAIR MANUAL 51-40-00.",c_6,baffle plug
1125385,2013-08-06 07:08:00,2013-08-06 12:47:00,N560ND,5124.0,7420.0,SPARK PLUG BAFFLE PLUG BROKEN.,2013-08-06,REMOVED & REPLACED BAFFLE PLUG.,c_6,baffle plug
1125776,2013-08-20 06:44:00,2013-08-21 14:45:00,N529ND,13246.9,7110.0,ENGINE BAFFLE PLUGS ARE WORN.,2013-08-20,INSTALLED NEW PLUGS.,c_6,baffle plug
1126180,2013-09-03 15:07:00,2013-09-03 12:52:00,N510ND,6737.2,7230.0,CYL #4 BAFFLE PLUG HOLE IS ENLARGED.,2013-09-03,INSTALLED PATCH FABRICATED OUT OF LIKE MATERIAL.,c_6,baffle plug
1126268,2013-09-06 06:55:00,2013-09-06 13:28:00,N509ND,9136.6,7100.0,R/H BAFFLE PLUG DAMAGED.,2013-09-06,INSTALLED NEW PLUG.,c_6,baffle plug
1126455,2013-09-11 15:02:00,2013-09-11 11:05:00,N537ND,6935.4,7230.0,BAFFLE PLUG TANGS BROKEN OFF.,2013-09-11,INSTALLED NEW BAFFLE PLUG.,c_6,baffle plug
1126949,2013-09-27 06:43:00,2013-09-27 14:54:00,N561ND,5424.9,7230.0,BAFFLE SPARK PLUG ACCESS PLUG WORN.,2013-09-27,REPLACED PLUGS.,c_6,baffle plug
1127051,2013-09-30 15:12:00,2013-09-30 11:10:00,N562ND,5124.0,7230.0,WORN BAFFLE PLUGS.,2013-09-30,REMOVED & REPLACED BAFFLE PLUGS.,c_6,baffle plug
1127193,2013-10-05 07:55:00,2013-10-05 12:55:00,N539ND,12103.5,7230.0,BAFFLE BUTTON PLUG IS WORN.,2013-10-05,REMOVED & REPLACED PLUG W/ NEW.,c_6,baffle plug
1127391,2013-10-11 14:28:00,2013-10-11 11:24:00,N551ND,10489.099999999999,7230.0,L/H BAFFLE BUTTON PLUG IS BROKEN.,2013-10-11,INSTALLED NEW PLUG.,c_6,baffle plug
1127583,2013-10-18 14:30:00,2013-10-18 09:53:00,N558ND,9895.1,7230.0,BOTH BAFFLE PLUGS WORN.,2013-10-18,REMOVED & REPLACED PLUGS.,c_6,baffle plug
1127671,2013-10-21 14:40:00,2013-10-21 12:38:00,N528ND,9908.2,7230.0,L/H BAFFLE PLUG LOCK TABS MISSING.,2013-10-21,INSTALLED NEW BAFFLE PLUG.,c_6,baffle plug
