workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1114877,2012-09-04 07:10:00,2012-09-06 16:02:00,N556ND,7821.599999999999,6100.0,PROPELLER DUE TIME CHANGE.,2012-09-05,INSTALLED RECONDITIONED PROP S/N AEC23508A. TORQUED & SAFETIED BOLTS.,c_26,propeller overspeed prop damage
1115993,2012-10-02 06:58:00,2012-10-08 10:44:00,N567ND,7058.1,6100.0,PROP REQ REMOVAL FOR ENG CHANGE.,2012-10-03,REMOVED PROP.,c_26,propeller overspeed prop damage
1115993,2012-10-02 06:58:00,2012-10-08 10:44:00,N567ND,7058.1,6100.0,PROP REQ REMOVAL FOR ENG CHANGE.,2012-10-05,REINSTALLED SAME PROPELLER ON ENGINE.,c_26,propeller overspeed prop damage
1116018,2012-10-03 06:47:00,2012-10-22 13:59:00,N558ND,7224.900000000001,6100.0,PROP IS DUE FOR TIME CHANGE.,2012-10-20,INSTALLED RECONDITIONED PROP S/N ADE23001.,c_26,propeller overspeed prop damage
1116018,2012-10-03 06:47:00,2012-10-22 13:59:00,N558ND,7224.900000000001,400.0,PERFORM AD RESEARCH FOR ENG & PROP CHANGE.,2012-10-22,ENG & PROP ARE IN COMPLICANE AT THIS TIME.,c_26,propeller overspeed prop damage
1117322,2012-11-13 15:07:00,2012-11-13 10:52:00,N532ND,3120.6000000000004,6110.0,2 DEEP NICKS ON PROP.,2012-11-13,"REMOVED & REPLACED PROP W/ S/N ACE23559A IAW CESSNA SERVICE MANUAL 61-10-00 REV 26. TORQUED BOLTS TO SPECS & SAFETY WIRED. DAMAGE DETERMINED NOT ""A PROP STRIKE"".",c_26,propeller overspeed prop damage
1117426,2012-11-15 14:26:00,2012-11-15 15:31:00,N538ND,6367.7,6110.0,PROP CHANGE DUE.,2012-11-15,"REMOVED & REPLACED PROPELLER W/ S/N ADE23533A & SPACER. TORQUED & SAFETIED BOLTS (PROP TSMOH 0.0, TT 2408.3).",c_26,propeller overspeed prop damage
1117492,2012-11-16 12:54:00,2012-11-16 15:04:00,N577ND,7325.4,550.0,AIRSPEED 92 KTS W/ FULL FLAPS.,2012-11-16,"INSPECTED IAW CESSNA OVERSPEED CHECKLIST, NO DEFECTS NOTED. A/C OK FOR FURTHER FLIGHT.",c_26,propeller overspeed prop damage
1118025,2012-12-05 12:42:00,2012-12-12 14:30:00,N509ND,7507.799999999999,6100.0,PROP TIME CHANGE DUE.,2012-12-05,REMOVED PROP.,c_26,propeller overspeed prop damage
1118025,2012-12-05 12:42:00,2012-12-12 14:30:00,N509ND,7507.799999999999,6100.0,PROP TIME CHANGE DUE.,2012-12-10,"INSTALLED, TORQUED & SAFETIED PROP S/N ACD23532A.",c_26,propeller overspeed prop damage
1118042,2012-12-06 07:05:00,2012-12-06 15:01:00,N572ND,6729.3,550.0,ENGINE OVERSPEED.,2012-12-06,"REVIEWED G1000 FLIGHT DATA LOG & DETERMINED ENGINE DID NOT EXCEED 2700 RPM. CONTACTED PILOT & CONFIRMED NO ANNUNCIATORS, BELLS ALERTED & ENGINE RPM AT NO POINT INDICATED IN RED. DETERMINED NO OVERSPEED OCCURED.",c_26,propeller overspeed prop damage
1118112,2012-12-07 18:26:00,2012-12-07 10:12:00,N514ND,12035.3,550.0,FLAPS EXTENDED ABOVE VFE.,2012-12-07,"INSPECTED IAW CESSNA ""OVERSPEED"" CHECKLIST. NO DEFECTS NOTED. A/C OK FOR FURTHER FLIGHT.",c_26,propeller overspeed prop damage
1118171,2012-12-11 06:54:00,2012-12-18 12:42:00,N550ND,7664.400000000001,6100.0,PROP DUE TIME CHANGE.,2012-12-14,INSTALLED S/N SEC23508A.,c_26,propeller overspeed prop damage
1118472,2012-12-31 07:04:00,2013-01-10 13:40:00,N537ND,7353.0,6100.0,PROPELLER DUE TIME CHANGE.,2013-01-08,REMOVED AFT BULKHEAD. INSTALLED SPACER & BULKHEAD ON RECONDITIONED PROP S/N AFC23517A.,c_26,propeller overspeed prop damage
1119011,2013-01-21 14:24:00,2013-01-23 13:44:00,N559ND,7671.599999999999,6100.0,PROP CHANGE DUE.,2013-01-22,INSTALLED PROP S/N ACL23006 & BACKPLATE. SAFETIED AS NEEDED.,c_26,propeller overspeed prop damage
1119498,2013-02-03 10:11:00,2013-02-06 14:55:00,N510ND,7481.099999999999,6100.0,PROP IS TIMED OUT.,2013-02-03,REMOVED PROP.,c_26,propeller overspeed prop damage
1119498,2013-02-03 10:11:00,2013-02-06 14:55:00,N510ND,7481.099999999999,6100.0,PROP IS TIMED OUT.,2013-02-05,INSTALLED PROPELLER REAR BULKHEAD ASSY & PROPELLER ASSY S/N ADE23008 IAW CESSNA MM. TORQUED & SAFETIED.,c_26,propeller overspeed prop damage
1119647,2013-02-06 14:49:00,2013-02-06 14:29:00,N568ND,6780.3,6110.0,PROPELLER TIME CHANGE DUE.,2013-02-06,REMOVED & REPLACED PROPELLER W/ S/N AED23521A.,c_26,propeller overspeed prop damage
1119803,2013-02-13 06:22:00,2013-02-15 14:48:00,N540ND,7625.700000000001,6110.0,PROPELLER DUE TIME CHANGE.,2013-02-13,REMOVED PROPELLER & SPACER.,c_26,propeller overspeed prop damage
1119803,2013-02-13 06:22:00,2013-02-15 14:48:00,N540ND,7625.700000000001,6110.0,PROPELLER DUE TIME CHANGE.,2013-02-14,"INSTALLED PROPELLER S/N ADF23522A, SPACER & BACKPLATE. TORQUED BOLTS & SAFETIED.",c_26,propeller overspeed prop damage
1119920,2013-02-15 09:13:00,2013-02-19 11:21:00,N577ND,7861.200000000001,6100.0,PROP NEEDS TO BE REMOVED FOR ENGINE CHANGE.,2013-02-15,REMOVED PROP.,c_26,propeller overspeed prop damage
1119996,2013-02-19 15:02:00,2013-02-21 13:50:00,N569ND,7488.599999999999,6100.0,PROP DUE TIME CHANGE.,2013-02-21,INSTALLED PROP IAW 172S MM CH 61-10-00 PAR C.,c_26,propeller overspeed prop damage
1120227,2013-02-27 07:00:00,2013-03-12 13:15:00,N536ND,7371.599999999999,6100.0,PROP DUE FOR TIME CHANGE.,2013-03-11,REMOVED & REPLACED PROP W/ S/N ADE23004.,c_26,propeller overspeed prop damage
1121206,2013-03-29 06:50:00,2013-03-29 12:52:00,N525ND,6208.2,6100.0,PROP NICKED & TIMED OUT.,2013-03-29,"REMOVED & REPLACED PROP W/ S/N ADE23012, TORQUED & SAFETIED.",c_26,propeller overspeed prop damage
1121656,2013-04-13 08:17:00,2013-04-15 13:08:00,N529ND,12269.5,3410.0,AIRSPEED INDICATOR READS 60 KNOTS ON GROUND.,2013-04-13,"REMOVED & REPLACED AIRSPEED INDICATOR W/ S/N T53973B, OPS CK GOOD.",c_26,propeller overspeed prop damage
1122210,2013-05-01 06:51:00,2013-05-02 11:15:00,N546ND,7520.099999999999,6100.0,PROP DUE TIME CHANGE.,2013-05-01,INSTALLED & TORQUED SERVICEABLE PROP.,c_26,propeller overspeed prop damage
1122702,2013-05-14 12:39:00,2013-05-14 13:01:00,N572ND,7709.099999999999,550.0,RPM'S REACHED 2740 FOR ABOUT 1 SECOND.,2013-05-14,"REVIEWED LYCOMING DB 369L, DETERMINED OVERSPEED TO MEET CRITERIA FOR <5% MOMENTARY OVERSPEED. NO FURTHER MAINTENANCE ACTION REQUIRED.",c_26,propeller overspeed prop damage
1123103,2013-05-25 11:57:00,2013-06-10 13:17:00,N605ND,738.0,3410.0,NO AIRSPEED INDICATION ON G1000 OR STANDBY AIRSPEED IND AFTER TAKEOFF.,2013-06-10,"REMOVED PITOT PROBE, CLEARED INSECT BLOCKAGE FORM REAR OF TUBE. REINSTALLED, CHECKED AIRSPEED ON PFD/MFD & STBY AIRSPEED INDICATORS W/ BARFIELD PITOT STATIC TEST SET.",c_26,propeller overspeed prop damage
1123152,2013-05-28 06:48:00,2013-05-29 10:33:00,N516ND,12295.7,6100.0,PROP TIME CHANGE DUE.,2013-05-28,REMOVED & REPLACED W/ RECONDITIONED PROP S/N ADE23518A & SAFETIED.,c_26,propeller overspeed prop damage
1123301,2013-05-31 15:04:00,2013-05-31 14:59:00,N561ND,4598.700000000001,550.0,"W/ FLAPS 20 DEGREES, AIRSPEED EXCEEDED 90 KIAS.",2013-05-31,"PERFORMED OVERSPEED INSP IAW CESSNA MM, NO DISCREPS NOTED.",c_26,propeller overspeed prop damage
